event_id,event_categories,event_name,event_slug,post_content,event_start_date,event_end_date,event_all_day,featured_image,location_name,location_slug,location_address,location_town,location_state,location_country,location_postcode,location_region,location_latitude,location_longitude
2398,Featured,"Maker Faire CDMX - 2023",Maker_Faire_CDMX_-_2023,"For more information, check out the <a target=""_blank"" href=""https://cdmx.makerfaire.com/"">Maker Faire CDMX - 2023 website.</a>","05/12/2023 12:00:00 am","05/13/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/08/MF_MXCity_2023_650-×-400-px.png,"Maker Faire CDMX",Maker_Faire_CDMX_Mexico_City_DF_MX_North_America,,"Mexico City",DF,MX,,"North America",19.390518,-99.423805
2415,Community,"Maker Faire Calgary - 2023",Maker_Faire_Calgary_-_2023,"For more information, check out the <a target=""_blank"" href=""https://calgary.makerfaire.com/"">Maker Faire Calgary - 2023 website.</a>","05/13/2023 12:00:00 am","05/13/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/10/MF_Calgary_2023_740-×-463-px.png,"Maker Faire Calgary",Maker_Faire_Calgary_Calgary_Alberta_CA_T2H_2Z9_North_America,,Calgary,Alberta,CA,"T2H 2Z9","North America",51.048615,-114.070847
2450,Community,"Maker Faire Delft - 2023",Maker_Faire_Delft_-_2023,"For more information, check out the <a target=""_blank"" href=""https://delft.makerfaire.com/"">Maker Faire Delft - 2023 website.</a>","05/13/2023 12:00:00 am","05/14/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/01/MF_Delft_2023.png,"Maker Faire Delft",Maker_Faire_Delft_Delft_NL_Europe,,Delft,,NL,,Europe,52.002193,4.371388
2464,Community,"Maker Faire Western New York Regional - 2023",Maker_Faire_Western_New_York_Regional_-_2023,"For more information, check out the <a target=""_blank"" href=""https://wnyregion.makerfaire.com/"">Maker Faire Western New York Regional - 2023 website.</a>","05/13/2023 12:00:00 am","05/13/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/11/MF_WNYRegional_2023.png,"Maker Faire Western New York Regional",Maker_Faire_Western_New_York_Regional_Blasdell_New_York_US_14219_North_America,,Blasdell,"New York",US,14219,"North America",42.788769,-78.830963
2410,Community,"Maker Faire Hudson Valley - 2023",Maker_Faire_Hudson_Valley_-_2023,"For more information, check out the <a target=""_blank"" href=""https://hudsonvalley.makerfaire.com/"">Maker Faire Hudson Valley - 2023 website.</a>","05/20/2023 12:00:00 am","05/21/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/10/HudsonValley_2023.png,"Maker Faire Hudson Valley",Maker_Faire_Hudson_Valley_55_West_Railroad_Ave_Garnerville_New_York_US_10923_North_America,"55 West Railroad Ave",Garnerville,"New York",US,10923,"North America",41.207615,-73.991760
2445,Community,"Maker Faire Wayne County - 2023",Maker_Faire_Wayne_County_-_2023,"For more information, check out the <a target=""_blank"" href=""https://waynecounty.makerfaire.com/"">Maker Faire Wayne County - 2023 website.</a>","05/20/2023 12:00:00 am","05/20/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/01/MFWayneCounty_2023.png,"Maker Faire Wayne County",Maker_Faire_Wayne_County_Orrville_Ohio_US_44325_North_America,,Orrville,Ohio,US,44325,"North America",40.859238,-81.792145
2460,Community,"Maker Faire Palm Beach - 2023",Maker_Faire_Palm_Beach_-_2023,"For more information, check out the <a target=""_blank"" href=""https://palmbeach.makerfaire.com/"">Maker Faire Palm Beach - 2023 website.</a>","05/20/2023 12:00:00 am","05/20/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/12/PalmBeachAnoukWipprecht_2023_RMT.png,"Maker Faire Palm Beach",Maker_Faire_Palm_Beach_4801_Dreher_Trail_N._West_Palm_Beach_Florida_US_33405_North_America,"4801 Dreher Trail N.","West Palm Beach",Florida,US,33405,"North America",26.669334,-80.071709
2488,Community,"Maker Faire Rychnov - 2023",Maker_Faire_Rychnov_-_2023,"For more information, check out the <a target=""_blank"" href=""https://makerfaire.cz"">Maker Faire Rychnov - 2023 website.</a>","05/28/2023 12:00:00 am","05/28/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/03/MF_Rhycnov_2023.png,"Maker Faire Rychnov",Maker_Faire_Rychnov_Rychnov_CZ_Europe,,Rychnov,,CZ,,Europe,49.738319,13.379408
2212,Community,"Maker Faire Aarhus - 2023",Maker_Faire_Aarhus_-_2023,"For more information, check out the <a target=""_blank"" href=""https://www.instagram.com/maker.faire.aarhus/"">Maker Faire Aarhus - 2023 website.</a>","05/29/2023 12:00:00 am","05/30/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2022/11/MF_Aarhus_2023.png,"Maker Faire Aarhus","Maker_Faire_Aarhus_Dokk1,_Hack_Kampmanns_Plads_2_Aarhus_DK_8000_Europe","Dokk1, Hack Kampmanns Plads 2",Aarhus,,DK,8000,Europe,56.153545,10.211992
2447,Featured,"Maker Faire Galicia - 2023",Maker_Faire_Galicia_-_2023,"For more information, check out the <a target=""_blank"" href=""https://makerfairegalicia.com/"">Maker Faire Galicia - 2023 website.</a>","06/01/2023 12:00:00 am","06/04/2023 12:00:00 am",1,https://makerfaire.com/wp-content/uploads/2023/01/MF_Galicia_2023.png,"Maker Faire Galicia",Maker_Faire_Galicia_Santiago_de_Compostela_ES_Europe,,"Santiago de Compostela",,ES,,Europe,42.870438,-8.529785
